id,領域,題型,難度,題目,圖片網址,A,B,C,D,正解,刪除選項優先,結論,詳解,冷知識,主持人口白,出處,狀態
K28,知識,🧪 自然與科學冷知識,1,大象雖然體型龐大，卻因為腿部構造特殊，天生做不出哪個動作？,,跳躍,倒退走,游泳,側躺睡覺,A,D,大象天生無法完成跳躍動作,大象的四肢像柱子般僵直，腳踝與小腿肌肉也不夠力，無法讓四腳同時離地，因此天生做不出跳躍動作，即使奔跑衝刺也一樣。,大象其實會倒退走、也會游泳，唯獨跳躍說什麼都做不到。,換個角度想，這大概是大象界最不擅長的體育項目了。,https://en.wikipedia.org/wiki/Elephant,上架
K29,知識,🧪 自然與科學冷知識,1,長頸鹿的脖子雖然很長，頸椎骨的數量卻和人類一樣，是幾節？,,12節,7節,20節,依身高不同,B,A,長頸鹿頸椎與人類同為7節,長頸鹿頸椎和人類一樣只有7節，只是每節骨頭可長達近30公分，靠拉長骨頭而非增加數量，撐出招牌的長脖子。,長頸鹿的一節頸椎骨，可能比人類一整條脖子的骨頭都還長。,原來長脖子的秘密不是骨頭多，是每根骨頭都在偷偷「拉長」。,https://www.snopes.com/fact-check/giraffes-neck-bones-humans/,上架
K30,知識,🧪 自然與科學冷知識,2,鯊魚在地球上出現的時間，其實比恐龍還早了大約多久？,,晚了5000萬年,差不多同時,早了約2億年,早了1000年,C,B,鯊魚比恐龍早出現約2億年,鯊魚化石最早可追溯到約4億5000萬年前，恐龍則約2億4000萬年前才出現，兩者相差超過2億年，鯊魚可說是活化石等級的存在。,鯊魚看過恐龍崛起，也看過恐龍滅絕，自己卻活到現在。,恐龍才是鯊魚眼中的「新面孔」，順序完全被大家搞反了。,https://www.floridamuseum.ufl.edu/discover-fish/sharks/faq/,上架
K31,知識,🧪 自然與科學冷知識,2,家貓天生的味覺，缺乏偵測哪一種味道的受體，所以幾乎嚐不出來？,,鹹味,酸味,苦味,甜味,D,C,貓天生缺乏甜味受體基因,研究發現貓的Tas1r2基因發生突變成為「偽基因」，無法組成正常甜味受體，因此貓幾乎無法感知糖的甜味，這也解釋牠們對甜食毫無興趣。,貓對蛋糕沒興趣，不是牠故意裝酷，是基因層級的天生無感。,難怪貓咪從不搶你的甜點，牠是真的嚐不出甜在哪。,https://journals.plos.org/plosgenetics/article?id=10.1371%2Fjournal.pgen.0010003,上架
K32,知識,🧪 自然與科學冷知識,3,蝴蝶要「嚐」出花朵或葉片的味道，主要是靠身體的哪個部位？,,腳,觸角,口器,翅膀,A,B,蝴蝶主要用腳感知味道,蝴蝶的腳（跗節）上長有化學感受器，一降落就能感知糖分、鹽分與苦味成分，藉此判斷該不該進食或產卵，靈敏度遠勝人類的味蕾。,蝴蝶降落在你手上那一刻，其實已經在用腳嚐你的味道了。,下次蝴蝶停在手上，記得牠不是在休息，牠在「試吃」。,https://www.nationalgeographic.com/animals/article/insects-butterflies-anatomy-senses-animals,上架
K33,知識,🧪 自然與科學冷知識,3,三趾樹懶平均要多久才會冒險爬下樹一次，去地面排便？,,每天一次,大約一週一次,一個月一次,從不下樹,B,D,樹懶大約一週才下樹排便一次,三趾樹懶平時幾乎整天待在樹上，大約每五到七天才會爬下樹排便一次，過程緩慢又危險，容易被天敵發現，科學家至今仍在研究牠們為何堅持這麼做。,樹懶一次排便，體重可能瞬間減輕將近三分之一。,對樹懶來說，上一次廁所大概是牠一週最刺激的行程。,https://www.slothconservation.org/blog/why-do-sloths-poop-on-the-ground,上架
K34,知識,🧪 自然與科學冷知識,4,「水熊蟲」（緩步動物）曾被送上太空實驗，證實牠能耐受什麼極端環境？,,深海高壓,熾熱火山,太空真空,強酸腐蝕,C,A,水熊蟲可耐受太空真空環境,2007年歐洲一項實驗把水熊蟲送上低軌道，暴露在太空真空中10天，多數個體返回後仍存活，牠們靠脫水進入「桶狀」休眠態，用特殊糖分保護細胞結構。,水熊蟲怕的不是真空，是真空加上強烈太陽輻射的組合攻擊。,這大概是地表最強生物界的「不死小強」候選人。,https://www.cell.com/current-biology/fulltext/S0960-9822(08)00805-1,上架
K35,知識,🧪 自然與科學冷知識,4,蝸牛口中稱為「齒舌」的刮食器官上，大約長有多少顆微小牙齒？,,約100顆,約1000顆,完全沒有牙齒,超過1萬顆,D,B,蝸牛齒舌上約有超過1萬顆微小牙齒,蝸牛沒有一般意義的嘴巴牙齒，而是靠一條佈滿微小齒列的「齒舌」刮食食物，一般花園蝸牛齒舌上約有一萬四千顆左右的顯微牙齒，且會不斷替換更新。,蝸牛的牙齒數量，可能比在場所有人的牙齒總和還多。,慢吞吞的蝸牛，嘴裡藏的居然是一整組精密刨刀。,https://nhm.org/stories/microscopic-look-snail-jaws,上架
K36,知識,🧪 自然與科學冷知識,5,俗稱「不死水母」的燈塔水母，遇到危險或衰老時能透過什麼方式重返幼體階段？,,細胞逆分化,分裂成兩隻,冬眠等待春天,換上新外殼,A,D,燈塔水母靠細胞逆分化回春,燈塔水母遇到受傷或環境惡劣時，成熟細胞能「逆分化」轉換回未成熟狀態，讓身體退回水螅型幼體重新發育，理論上可不斷重複這個過程，因此有「不死」之稱。,牠不是不會死，只是遇到麻煩時懂得「重新做人」。,如果人類也會這招，履歷表上的年齡欄大概會很尷尬。,https://pubmed.ncbi.nlm.nih.gov/39719736/,上架
K37,知識,🧪 自然與科學冷知識,5,河豚體內的河豚毒素，毒性大約是氰化物的多少倍？,,約10倍,約1000倍以上,約100倍,差不多一樣毒,B,A,河豚毒素毒性約為氰化物千倍以上,河豚毒素會阻斷神經細胞的鈉離子通道，導致肌肉麻痺甚至呼吸衰竭，其毒性可達氰化物的1000倍以上，且目前沒有正式解毒劑，只能靠支持性治療撐過去。,河豚料理師傅要考證照，某種程度上是在跟千倍氰化物打交道。,光聽這個倍數，河豚生魚片突然變得更有「膽識」門檻了。,https://www.cfs.gov.hk/english/multimedia/multimedia_pub/multimedia_pub_fsf_178_02.html,上架
